World Rank,Institution,Location,National Rank,Education Rank,Employability Rank,Faculty Rank,Research Rank,Score
324Top 1.6%,University of Delaware,USA,100,390,392,170,388,76.6
325Top 1.6%,Ruhr University Bochum,Germany,23,-,455,-,290,76.6
326Top 1.6%,King Saud University,Saudi Arabia,3,-,364,-,295,76.6
327Top 1.6%,University of Pavia,Italy,10,496,909,228,345,76.6
328Top 1.6%,National Yang Ming Chiao Tung University,Taiwan,2,-,195,-,320,76.6
329Top 1.6%,Curtin University,Australia,10,-,1032,-,288,76.5
330Top 1.6%,University of Aberdeen,United Kingdom,26,288,857,159,399,76.5
331Top 1.6%,Federal University of Rio de Janeiro,Brazil,2,504,489,176,393,76.5
332Top 1.6%,Aalborg University,Denmark,5,-,971,-,293,76.5
333Top 1.6%,Queen's University,Canada,13,482,372,226,369,76.5
334Top 1.6%,HEC Paris,France,18,-,9,-,-,76.5
335Top 1.6%,"University of California, Santa Cruz",USA,101,394,1254,275,314,76.5
336Top 1.6%,Polytechnic University of Milan,Italy,11,426,417,210,377,76.4
337Top 1.6%,University of Nebraska–Lincoln,USA,102,168,358,-,326,76.4
338Top 1.6%,Jinan University,China,48,-,654,-,298,76.4
339Top 1.6%,East China University of Science and Technology,China,49,-,1385,-,296,76.4
340Top 1.6%,Northeastern University,USA,103,316,248,-,329,76.4
341Top 1.6%,Macquarie University,Australia,11,-,508,-,306,76.4
342Top 1.6%,Nanjing University of Science and Technology,China,50,-,546,-,304,76.4
343Top 1.6%,Shanghai University,China,51,-,1022,-,302,76.3
344Top 1.7%,Wayne State University,USA,104,495,440,-,317,76.3
345Top 1.7%,University of York,United Kingdom,27,241,1657,-,311,76.3
346Top 1.7%,Friedrich Schiller University Jena,Germany,24,547,-,270,339,76.3
347Top 1.7%,University of Milano-Bicocca,Italy,12,-,-,-,305,76.3
348Top 1.7%,"Northeastern University, China",China,52,-,381,-,324,76.3
349Top 1.7%,Ulm University,Germany,25,-,1151,-,309,76.3
350Top 1.7%,University of Granada,Spain,6,-,-,-,308,76.2
